"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","157.240.195.56","10.100.102.210","TLSv1.2","859","Application Data"
"2","0.181189","10.100.102.210","157.240.195.56","TLSv1.2","144","Application Data"
"3","0.264688","157.240.195.56","10.100.102.210","TLSv1.2","843","Application Data"
"4","0.351289","10.100.102.210","157.240.195.56","TLSv1.2","144","Application Data"
"5","0.613004","157.240.195.56","10.100.102.210","TLSv1.2","859","Application Data"
"6","0.700266","10.100.102.210","157.240.195.56","TLSv1.2","144","Application Data"
"7","0.852739","157.240.195.56","10.100.102.210","TLSv1.2","859","Application Data"
"8","0.922631","10.100.102.210","157.240.195.56","TLSv1.2","144","Application Data"
"9","2.073253","10.100.102.210","157.240.195.56","TLSv1.3","523","Client Hello"
"10","2.153503","157.240.195.56","10.100.102.210","TLSv1.3","266","Server Hello, Change Cipher Spec, Application Data"
"11","2.156759","10.100.102.210","157.240.195.56","TLSv1.3","118","Change Cipher Spec, Application Data"
"12","2.157468","10.100.102.210","157.240.195.56","TLSv1.3","134","Application Data"
"13","2.158899","10.100.102.210","157.240.195.56","TLSv1.3","282","Application Data"
"14","2.250482","157.240.195.56","10.100.102.210","TLSv1.3","225","Application Data"
"15","2.250482","157.240.195.56","10.100.102.210","TLSv1.3","128","Application Data"
"16","2.250482","157.240.195.56","10.100.102.210","TLSv1.3","98","Application Data"
"17","2.252543","10.100.102.210","157.240.195.56","TLSv1.3","85","Application Data"
"18","2.352964","157.240.195.56","10.100.102.210","TLSv1.3","465","Application Data"
"19","2.354124","157.240.195.56","10.100.102.210","TCP","1446","443  >  53172 [ACK] Seq=913 Ack=873 Win=265 Len=1392 [TCP segment of a reassembled PDU]"
"20","2.354124","157.240.195.56","10.100.102.210","TLSv1.3","1446","Application Data"
"21","2.354124","157.240.195.56","10.100.102.210","TLSv1.3","947","Application Data, Application Data"
"22","4.269619","10.100.102.210","157.240.195.56","TLSv1.2","124","Application Data"
"23","4.453017","157.240.195.56","10.100.102.210","TLSv1.2","126","Application Data"
"24","21.308945","10.100.102.210","157.240.195.56","TLSv1.2","124","Application Data"
"25","21.502423","157.240.195.56","10.100.102.210","TLSv1.2","126","Application Data"
"26","33.637109","157.240.195.56","10.100.102.210","TLSv1.2","149","Application Data"
"27","33.704193","10.100.102.210","157.240.195.56","TLSv1.2","127","Application Data"
"28","37.941118","10.100.102.210","157.240.195.56","TLSv1.2","124","Application Data"
"29","38.105035","157.240.195.56","10.100.102.210","TLSv1.2","126","Application Data"
"30","38.245169","157.240.195.56","10.100.102.210","TLSv1.2","827","Application Data"
"31","38.394153","10.100.102.210","157.240.195.56","TLSv1.2","144","Application Data"
"32","42.372094","10.100.102.210","157.240.195.56","TLSv1.3","95","Application Data"
"33","42.372954","10.100.102.210","157.240.195.56","TLSv1.3","198","Application Data"
"34","42.502919","157.240.195.56","10.100.102.210","TLSv1.3","102","Application Data"
"35","42.502919","157.240.195.56","10.100.102.210","TCP","1446","443  >  53172 [ACK] Seq=4638 Ack=1058 Win=269 Len=1392 [TCP segment of a reassembled PDU]"
"36","42.516620","157.240.195.56","10.100.102.210","TLSv1.3","1446","Application Data"
"37","42.516620","157.240.195.56","10.100.102.210","TCP","1446","443  >  53172 [ACK] Seq=7422 Ack=1058 Win=269 Len=1392 [TCP segment of a reassembled PDU]"
