"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","157.240.195.56","10.100.102.210","TCP","1446","443  >  52286 [ACK] Seq=1 Ack=1 Win=1094 Len=1392 [TCP segment of a reassembled PDU]"
"2","0.000000","157.240.195.56","10.100.102.210","TLSv1.2","123","Application Data"
"3","0.010893","157.240.195.56","10.100.102.210","TLSv1.2","1419","Application Data"
"4","0.012035","157.240.195.56","10.100.102.210","TCP","1446","443  >  52286 [ACK] Seq=2827 Ack=1 Win=1094 Len=1392 [TCP segment of a reassembled PDU]"
"5","0.012035","157.240.195.56","10.100.102.210","TLSv1.2","139","Application Data"
"6","0.019399","157.240.195.56","10.100.102.210","TLSv1.2","75","[TCP Previous segment not captured] , Ignored Unknown Record"
"7","0.208808","10.100.102.210","157.240.195.56","TLSv1.2","144","[TCP ACKed unseen segment] , Application Data"
"8","0.430964","157.240.195.56","10.100.102.210","TLSv1.2","183","Application Data"
"9","0.431994","157.240.195.56","10.100.102.210","TLSv1.2","183","Application Data"
"10","0.437284","157.240.195.56","10.100.102.210","TLSv1.2","183","Application Data"
"11","0.437284","157.240.195.56","10.100.102.210","TLSv1.2","183","Application Data"
"12","0.438300","10.100.102.210","157.240.195.56","TLSv1.2","148","Application Data"
"13","0.440843","10.100.102.210","157.240.195.56","TLSv1.2","148","Application Data"
"14","0.441841","10.100.102.210","157.240.195.56","TLSv1.2","144","Application Data"
"15","0.443887","10.100.102.210","157.240.195.56","TLSv1.2","148","Application Data"
"16","0.449137","10.100.102.210","157.240.195.56","TLSv1.2","148","Application Data"
"17","0.654415","10.100.102.210","157.240.195.56","TLSv1.2","144","Application Data"
"18","0.902696","10.100.102.210","157.240.195.56","TLSv1.2","144","Application Data"
"19","1.213160","157.240.195.56","10.100.102.210","TCP","1446","443  >  52286 [ACK] Seq=6233 Ack=737 Win=1094 Len=1392 [TCP segment of a reassembled PDU]"
"20","1.213160","157.240.195.56","10.100.102.210","TLSv1.2","343","Application Data, Application Data"
"21","1.415091","157.240.195.56","10.100.102.210","TLSv1.2","148","Application Data"
"22","1.461384","10.100.102.210","157.240.195.56","TLSv1.2","146","Application Data"
"23","1.476111","10.100.102.210","157.240.195.56","TLSv1.2","147","Application Data"
"24","1.514007","157.240.195.56","10.100.102.210","TLSv1.2","147","Application Data"
"25","1.525830","10.100.102.210","157.240.195.56","TLSv1.2","146","Application Data"
"26","1.562071","10.100.102.210","157.240.195.56","TLSv1.3","523","Client Hello"
"27","1.583848","157.240.195.56","10.100.102.210","TLSv1.2","148","Application Data"
"28","1.590462","10.100.102.210","157.240.195.56","TLSv1.2","146","Application Data"
"29","1.624937","157.240.195.56","10.100.102.210","TLSv1.3","266","Server Hello, Change Cipher Spec, Application Data"
"30","1.626098","10.100.102.210","157.240.195.56","TLSv1.3","118","Change Cipher Spec, Application Data"
"31","1.626359","10.100.102.210","157.240.195.56","TLSv1.3","134","Application Data"
"32","1.626813","10.100.102.210","157.240.195.56","TLSv1.3","282","Application Data"
"33","1.688664","157.240.195.56","10.100.102.210","TLSv1.3","85","[TCP Previous segment not captured] , Application Data"
