"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.100.102.210","157.240.195.56","TLSv1.2","132","Application Data"
"2","0.111888","157.240.195.56","10.100.102.210","TLSv1.2","134","Application Data"
"3","0.171796","157.240.195.56","10.100.102.210","TLSv1.2","130","Application Data"
"4","4.677498","157.240.195.56","10.100.102.210","TLSv1.2","131","Application Data"
"5","4.694568","157.240.195.56","10.100.102.210","TLSv1.2","134","Application Data"
"6","5.002681","157.240.195.56","10.100.102.210","TLSv1.2","134","Application Data"
"7","6.431793","10.100.102.210","157.240.195.56","TLSv1.2","121","Application Data"
"8","7.609132","157.240.195.56","10.100.102.210","TLSv1.2","149","Application Data"
"9","7.613138","10.100.102.210","157.240.195.56","TLSv1.2","148","Application Data"
"10","11.311215","157.240.195.56","10.100.102.210","TLSv1.2","672","Application Data"
"11","11.388435","10.100.102.210","157.240.195.56","TLSv1.2","153","Application Data"
"12","15.039728","157.240.195.56","10.100.102.210","TLSv1.2","294","Application Data"
"13","15.245812","10.100.102.210","157.240.195.56","TLSv1.2","144","Application Data"
"14","17.604865","10.100.102.210","157.240.195.56","TLSv1.2","124","Application Data"
"15","17.668120","157.240.195.56","10.100.102.210","TLSv1.2","310","Application Data"
"16","17.775401","157.240.195.56","10.100.102.210","TLSv1.2","126","Application Data"
"17","17.813818","10.100.102.210","157.240.195.56","TLSv1.2","144","Application Data"
"18","25.345920","10.100.102.210","157.240.195.56","TLSv1.2","121","Application Data"
"19","26.177109","10.100.102.210","157.240.195.56","TLSv1.2","124","Application Data"
"20","27.862325","10.100.102.210","157.240.195.56","TLSv1.2","195","Application Data"
"21","28.035418","157.240.195.56","10.100.102.210","TLSv1.2","143","Application Data"
"22","29.071103","157.240.195.56","10.100.102.210","TLSv1.2","211","Application Data"
"23","29.086706","10.100.102.210","157.240.195.56","TLSv1.2","149","Application Data"
"24","30.373575","157.240.195.56","10.100.102.210","TLSv1.2","131","Application Data"
"25","31.089528","10.100.102.210","157.240.195.56","TLSv1.2","349","Application Data"
"26","31.334380","157.240.195.56","10.100.102.210","TLSv1.2","165","Application Data"
"27","31.538945","157.240.195.56","10.100.102.210","TLSv1.2","149","Application Data"
"28","31.541089","10.100.102.210","157.240.195.56","TLSv1.2","147","Application Data"
"29","31.605582","157.240.195.56","10.100.102.210","TLSv1.2","149","Application Data"
"30","31.607649","10.100.102.210","157.240.195.56","TLSv1.2","147","Application Data"
"31","31.717221","157.240.195.56","10.100.102.210","TLSv1.2","531","Application Data"
"32","31.795020","10.100.102.210","157.240.195.56","TLSv1.2","143","Application Data"
"33","31.826795","157.240.195.56","10.100.102.210","TLSv1.2","151","Application Data"
"34","31.866777","157.240.195.56","10.100.102.210","TLSv1.2","148","Application Data"
"35","31.870625","10.100.102.210","157.240.195.56","TLSv1.2","149","Application Data"
"36","31.877001","10.100.102.210","157.240.195.56","TLSv1.2","155","Application Data"
"37","31.879091","10.100.102.210","157.240.195.56","TLSv1.2","147","Application Data"
