"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.100.102.210","157.240.195.56","TLSv1.2","123","Application Data"
"2","0.187017","157.240.195.56","10.100.102.210","TLSv1.2","125","Application Data"
"3","6.426643","10.100.102.210","157.240.195.56","TLSv1.2","124","Application Data"
"4","8.891917","157.240.195.56","10.100.102.210","TLSv1.2","131","Application Data"
"5","11.246878","157.240.195.56","10.100.102.210","TLSv1.2","296","Application Data"
"6","11.549980","10.100.102.210","157.240.195.56","TLSv1.2","144","Application Data"
"7","11.599191","10.100.102.210","157.240.195.56","TLSv1.2","156","Application Data"
"8","11.809797","157.240.195.56","10.100.102.210","TLSv1.2","143","Application Data"
"9","12.340623","10.100.102.210","157.240.195.56","TLSv1.2","285","Application Data"
"10","12.500909","157.240.195.56","10.100.102.210","TLSv1.2","165","Application Data"
"11","12.541792","10.100.102.210","157.240.195.56","TLSv1.2","92","Application Data"
"12","12.605049","157.240.195.56","10.100.102.210","TLSv1.2","89","Application Data"
"13","12.696743","157.240.195.56","10.100.102.210","TLSv1.2","152","Application Data"
"14","12.700156","10.100.102.210","157.240.195.56","TLSv1.2","150","Application Data"
"15","12.782454","157.240.195.56","10.100.102.210","TCP","1446","443  >  63730 [ACK] Seq=36 Ack=39 Win=265 Len=1392 [TCP segment of a reassembled PDU]"
"16","12.782454","157.240.195.56","10.100.102.210","TLSv1.2","1446","Application Data"
"17","12.782454","157.240.195.56","10.100.102.210","TLSv1.2","1110","Application Data, Application Data"
"18","12.828657","157.240.195.56","10.100.102.210","TLSv1.2","148","Application Data"
"19","12.833756","10.100.102.210","157.240.195.56","TLSv1.2","147","Application Data"
"20","12.987126","157.240.195.56","10.100.102.210","TLSv1.2","148","Application Data"
"21","12.991021","10.100.102.210","157.240.195.56","TLSv1.2","147","Application Data"
"22","13.089697","157.240.195.56","10.100.102.210","TLSv1.2","149","Application Data"
"23","13.098854","10.100.102.210","157.240.195.56","TLSv1.2","147","Application Data"
"24","13.550448","157.240.195.56","10.100.102.210","TLSv1.2","148","Application Data"
"25","13.550448","157.240.195.56","10.100.102.210","TLSv1.2","151","Application Data"
"26","13.556847","10.100.102.210","157.240.195.56","TLSv1.2","147","Application Data"
"27","13.560648","157.240.195.56","10.100.102.210","TLSv1.2","151","Application Data"
"28","13.564913","10.100.102.210","157.240.195.56","TLSv1.2","150","Application Data"
"29","13.570635","10.100.102.210","157.240.195.56","TLSv1.2","150","Application Data"
"30","14.520120","10.100.102.210","157.240.195.56","TLSv1.2","124","Application Data"
"31","15.644543","10.100.102.210","157.240.195.56","TLSv1.2","253","Application Data"
"32","15.855587","157.240.195.56","10.100.102.210","TLSv1.2","165","Application Data"
"33","16.039130","10.100.102.210","157.240.195.56","TLSv1.2","124","Application Data"
"34","16.116596","157.240.195.56","10.100.102.210","TLSv1.2","152","Application Data"
"35","16.120956","10.100.102.210","157.240.195.56","TLSv1.2","150","Application Data"
"36","16.122528","157.240.195.56","10.100.102.210","TLSv1.2","148","Application Data"
"37","16.128936","10.100.102.210","157.240.195.56","TLSv1.2","147","Application Data"
"38","16.188722","157.240.195.56","10.100.102.210","TLSv1.2","150","Application Data"
"39","16.192356","10.100.102.210","157.240.195.56","TLSv1.2","149","Application Data"
"40","16.214814","157.240.195.56","10.100.102.210","TLSv1.2","148","Application Data"
"41","16.218522","10.100.102.210","157.240.195.56","TLSv1.2","147","Application Data"
"42","16.468857","157.240.195.56","10.100.102.210","TLSv1.2","149","Application Data"
"43","16.483296","10.100.102.210","157.240.195.56","TLSv1.2","147","Application Data"
"44","16.725828","157.240.195.56","10.100.102.210","TLSv1.2","150","Application Data"
