"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","35.186.224.25","10.100.102.210","UDP","1288","443  >  53880 Len=1246"
"2","0.000000","35.186.224.25","10.100.102.210","UDP","268","443  >  53880 Len=226"
"3","0.000000","35.186.224.25","10.100.102.210","UDP","361","443  >  51706 Len=319"
"4","0.000974","10.100.102.210","35.186.224.25","UDP","79","53880  >  443 Len=37"
"5","0.001463","10.100.102.210","35.186.224.25","UDP","75","53880  >  443 Len=33"
"6","0.002304","10.100.102.210","35.186.224.25","UDP","77","51706  >  443 Len=35"
"7","0.006532","10.100.102.210","35.186.224.25","UDP","109","51706  >  443 Len=67"
"8","0.013478","35.186.224.25","10.100.102.210","UDP","662","443  >  51706 Len=620"
"9","0.013478","35.186.224.25","10.100.102.210","UDP","69","443  >  51706 Len=27"
"10","0.014013","10.100.102.210","35.186.224.25","UDP","77","51706  >  443 Len=35"
"11","0.048475","10.100.102.210","35.186.224.25","UDP","74","51706  >  443 Len=32"
"12","0.050705","35.186.224.25","10.100.102.210","UDP","66","443  >  53880 Len=24"
"13","0.050705","35.186.224.25","10.100.102.210","UDP","66","443  >  51706 Len=24"
"14","0.155358","35.186.224.25","10.100.102.210","UDP","915","443  >  51706 Len=873"
"15","0.157484","10.100.102.210","35.186.224.25","UDP","77","51706  >  443 Len=35"
"16","0.198125","35.186.224.25","10.100.102.210","UDP","66","443  >  51706 Len=24"
"17","0.205798","10.100.102.210","35.186.224.25","UDP","383","51706  >  443 Len=341"
"18","0.212997","35.186.224.25","10.100.102.210","UDP","69","443  >  51706 Len=27"
"19","0.249750","35.186.224.25","10.100.102.210","UDP","1096","443  >  51706 Len=1054"
"20","0.250323","10.100.102.210","35.186.224.25","UDP","77","51706  >  443 Len=35"
"21","0.281177","35.186.224.25","10.100.102.210","UDP","66","443  >  51706 Len=24"
"22","0.283114","35.186.224.25","10.100.102.210","UDP","332","443  >  51706 Len=290"
"23","0.283644","10.100.102.210","35.186.224.25","UDP","77","51706  >  443 Len=35"
"24","0.286871","10.100.102.210","35.186.224.25","UDP","112","51706  >  443 Len=70"
"25","0.295644","35.186.224.25","10.100.102.210","UDP","69","443  >  51706 Len=27"
"26","0.330293","10.100.102.210","35.186.224.25","UDP","74","51706  >  443 Len=32"
"27","0.386891","35.186.224.25","10.100.102.210","UDP","558","443  >  51706 Len=516"
"28","0.387500","10.100.102.210","35.186.224.25","UDP","77","51706  >  443 Len=35"
"29","0.417895","35.186.224.25","10.100.102.210","UDP","66","443  >  51706 Len=24"
"30","1.062689","10.100.102.210","35.186.224.25","TCP","55","63540  >  443 [ACK] Seq=1 Ack=1 Win=514 Len=1 [TCP segment of a reassembled PDU]"
"31","1.068654","35.186.224.25","10.100.102.210","TCP","66","443  >  63540 [ACK] Seq=1 Ack=2 Win=286 Len=0 SLE=1 SRE=2"
"32","2.350414","10.100.102.210","35.186.224.25","UDP","357","51706  >  443 Len=315"
"33","2.359647","35.186.224.25","10.100.102.210","UDP","69","443  >  51706 Len=27"
"34","2.361772","10.100.102.210","35.186.224.25","UDP","1156","56678  >  443 Len=1114"
"35","2.370105","35.186.224.25","10.100.102.210","UDP","69","443  >  56678 Len=27"
"36","2.397262","10.100.102.210","35.186.224.25","UDP","74","51706  >  443 Len=32"
"37","2.397461","10.100.102.210","35.186.224.25","UDP","74","56678  >  443 Len=32"
"38","2.459724","35.186.224.25","10.100.102.210","UDP","393","443  >  51706 Len=351"
"39","2.459724","35.186.224.25","10.100.102.210","UDP","408","443  >  56678 Len=366"
"40","2.460275","10.100.102.210","35.186.224.25","UDP","77","51706  >  443 Len=35"
"41","2.461001","10.100.102.210","35.186.224.25","UDP","77","56678  >  443 Len=35"
"42","2.508805","35.186.224.25","10.100.102.210","UDP","66","443  >  56678 Len=24"
"43","2.508805","35.186.224.25","10.100.102.210","UDP","66","443  >  51706 Len=24"
"44","3.518532","10.100.102.210","35.186.224.25","UDP","112","51706  >  443 Len=70"
"45","3.525404","35.186.224.25","10.100.102.210","UDP","69","443  >  51706 Len=27"
"46","3.564402","10.100.102.210","35.186.224.25","UDP","74","51706  >  443 Len=32"
"47","3.635405","35.186.224.25","10.100.102.210","UDP","479","443  >  51706 Len=437"
"48","3.635836","10.100.102.210","35.186.224.25","UDP","77","51706  >  443 Len=35"
"49","3.688598","35.186.224.25","10.100.102.210","UDP","66","443  >  51706 Len=24"
"50","4.124440","10.100.102.210","157.240.195.56","TLSv1.2","123","Application Data"
"51","4.300638","157.240.195.56","10.100.102.210","TLSv1.2","125","Application Data"
"52","5.702109","10.100.102.210","35.186.224.25","UDP","112","51706  >  443 Len=70"
"53","5.718580","35.186.224.25","10.100.102.210","UDP","69","443  >  51706 Len=27"
"54","5.751707","10.100.102.210","35.186.224.25","UDP","74","51706  >  443 Len=32"
"55","5.824337","35.186.224.25","10.100.102.210","UDP","278","443  >  51706 Len=236"
"56","5.824775","10.100.102.210","35.186.224.25","UDP","77","51706  >  443 Len=35"
"57","5.855916","35.186.224.25","10.100.102.210","UDP","66","443  >  51706 Len=24"
"58","7.483854","10.100.102.210","35.186.224.25","UDP","118","56678  >  443 Len=76"
"59","7.498353","35.186.224.25","10.100.102.210","UDP","69","443  >  56678 Len=27"
"60","7.524491","10.100.102.210","35.186.224.25","UDP","74","56678  >  443 Len=32"
"61","7.609525","35.186.224.25","10.100.102.210","UDP","131","443  >  56678 Len=89"
"62","7.609963","10.100.102.210","35.186.224.25","UDP","77","56678  >  443 Len=35"
"63","7.640833","35.186.224.25","10.100.102.210","UDP","66","443  >  56678 Len=24"
"64","8.100527","10.100.102.210","157.240.195.56","QUIC","1292","Initial, DCID=69547e44ded35677, PKN: 1, PADDING, PING, CRYPTO, PING, PADDING, PING, PING, PADDING, PING, CRYPTO, PING, PADDING, PING, PADDING, PING, CRYPTO, PADDING, PING, CRYPTO, PADDING"
"65","8.123672","10.100.102.210","157.240.195.56","TLSv1.2","121","Application Data"
"66","8.163228","157.240.195.56","10.100.102.210","QUIC","1274","Initial, SCID=5601c10346b4b3b2, PKN: 12227137, CRYPTO, ACK, PADDING"
"67","11.307017","10.100.102.210","157.240.195.56","TLSv1.2","200","Application Data"
"68","11.358743","10.100.102.210","157.240.195.56","TLSv1.2","128","Application Data"
"69","11.522100","157.240.195.56","10.100.102.210","TLSv1.2","216","Application Data"
"70","11.522100","157.240.195.56","10.100.102.210","TLSv1.2","76","[TCP Previous segment not captured] , Ignored Unknown Record"
"71","11.732395","10.100.102.210","157.240.195.56","TLSv1.2","170","[TCP ACKed unseen segment] , Application Data"
"72","11.940845","157.240.195.56","10.100.102.210","TLSv1.2","116","Application Data"
"73","13.462798","10.100.102.210","157.240.195.56","TLSv1.2","121","Application Data"
"74","14.925631","10.100.102.210","157.240.195.56","TLSv1.2","121","Application Data"
"75","16.384110","10.100.102.210","157.240.195.56","TLSv1.2","121","Application Data"
"76","17.630347","10.100.102.210","35.186.224.25","UDP","119","56678  >  443 Len=77"
"77","17.652851","35.186.224.25","10.100.102.210","UDP","69","443  >  56678 Len=27"
