"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","157.240.195.56","10.100.102.210","TLSv1.2","93","Application Data"
"2","5.108862","157.240.195.56","10.100.102.210","TCP","1446","443  >  52286 [ACK] Seq=1 Ack=1 Win=712 Len=1392 [TCP segment of a reassembled PDU]"
"3","5.108862","157.240.195.56","10.100.102.210","TLSv1.2","417","Application Data, Application Data"
"4","5.368344","10.100.102.210","157.240.195.56","TLSv1.2","144","Application Data"
"5","6.621259","157.240.195.56","10.100.102.210","TLSv1.2","209","Application Data"
"6","6.621471","157.240.195.56","10.100.102.210","TLSv1.2","187","Application Data"
"7","6.628653","10.100.102.210","157.240.195.56","TLSv1.2","147","Application Data"
"8","6.637085","10.100.102.210","157.240.195.56","TLSv1.2","146","Application Data"
"9","9.574125","10.100.102.210","157.240.195.56","TLSv1.3","523","Client Hello"
"10","9.674627","157.240.195.56","10.100.102.210","TLSv1.3","266","Server Hello, Change Cipher Spec, Application Data"
"11","9.677731","10.100.102.210","157.240.195.56","TLSv1.3","118","Change Cipher Spec, Application Data"
"12","9.678552","10.100.102.210","157.240.195.56","TLSv1.3","134","Application Data"
"13","9.680163","10.100.102.210","157.240.195.56","TLSv1.3","284","Application Data"
"14","9.777287","157.240.195.56","10.100.102.210","TLSv1.3","128","[TCP Previous segment not captured] , Application Data"
"15","9.777287","157.240.195.56","10.100.102.210","TLSv1.3","85","Application Data"
"16","9.777287","157.240.195.56","10.100.102.210","TLSv1.3","89","Application Data"
"17","9.780348","10.100.102.210","157.240.195.56","TLSv1.3","85","[TCP ACKed unseen segment] , Application Data"
"18","9.988738","157.240.195.56","10.100.102.210","TCP","1446","443  >  52923 [ACK] Seq=524 Ack=875 Win=265 Len=1392 [TCP segment of a reassembled PDU]"
"19","9.989519","157.240.195.56","10.100.102.210","TLSv1.3","1446","Application Data"
"20","9.989519","157.240.195.56","10.100.102.210","TLSv1.3","1337","Application Data, Application Data"
"21","13.421867","157.240.195.56","10.100.102.210","TLSv1.2","147","Application Data"
"22","13.426800","10.100.102.210","157.240.195.56","TLSv1.2","146","Application Data"
"23","14.326998","10.100.102.210","157.240.195.56","TLSv1.2","124","Application Data"
